0,liver_0,liver_1
,liver,Axopan D 10mg/40mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Axopan D 10mg/40mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Ameek 500mg Injection is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Ameek 500mg Injection may not be needed in these patients. Please consult your  doctor.
,liver,Acelab-TH Tablet should be used with caution in patients with liver disease. Dose adjustment of Acelab-TH Tablet may be needed. Please consult your doctor.<BR>Use of Acelab-TH Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,Acnisil 20mg Tablet is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Arzepam 2mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Arzepam 2mg Tablet may be needed. Please consult your doctor.
,liver,Axitrix 250mg Injection should be used with caution in patients with severe liver disease. Dose adjustment of Axitrix 250mg Injection may be needed. Please consult your doctor.<BR>Dose adjustment of Axitrix 250mg Injection is not recommended in patients with mild to moderate liver disease.
,liver,Alpraday 0.25mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Alpraday 0.25mg Tablet may be needed. Please consult your doctor.
,liver,Amfenac 200mg Tablet SR should be used with caution in patients with liver disease. Dose adjustment of Amfenac 200mg Tablet SR may be needed. Please consult your doctor.<BR>Use of Amfenac 200mg Tablet SR is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,There is limited information available on the use of Afcid Oral Suspension Strawberry in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Andoset-MD Tablet in patients with liver disease. Please consult your doctor.
,liver,Abrizol L 75mg/20mg Capsule should be used with caution in patients with severe liver disease. Dose adjustment of Abrizol L 75mg/20mg Capsule may be needed. Please consult your doctor.
,liver,Arolexim 500mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Arolexim 500mg Capsule may be needed. Please consult your doctor.
,liver,"There is limited information available on the use of Acquire 250mg Tablet in patients with liver disease. Please consult your doctor.<BR>However, stop the medicine and inform your doctor if you develop any signs and symptoms of jaundice while taking this medicine."
,liver,Azitime 500 Tablet should be used with caution in patients with liver disease. Dose adjustment of Azitime 500 Tablet may be needed. Please consult your doctor.
,liver,Abixim-AZ Tablet should be used with caution in patients with liver disease. Dose adjustment of Abixim-AZ Tablet may be needed. Please consult your doctor.
,,
,liver,"Anlof TC 100mg/325mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Anlof TC 100mg/325mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Anlof TC 100mg/325mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Aridac 25mg Injection should be used with caution in patients with liver disease. Dose adjustment of Aridac 25mg Injection may be needed. Please consult your doctor.
,liver,Axiom OR 15mg Dry Syrup should be used with caution in patients with liver disease. Dose adjustment of Axiom OR 15mg Dry Syrup may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Avizone S 1000mg/500mg Injection in patients with liver disease. Please consult your doctor.
,liver,Atpure SA 2.5mg/25mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Atpure SA 2.5mg/25mg Tablet may be needed. Please consult your doctor.<BR>Atpure SA 2.5mg/25mg Tablet is started at a lower dose in patients with liver disease and further increased slowly with careful monitoring.
,,
,liver,Abijem 20mg Injection should be used with caution in patients with severe liver disease. Dose adjustment of Abijem 20mg Injection may be needed. Please consult your doctor.
,liver,Azinip 250mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azinip 250mg Tablet may be needed. Please consult your doctor.
,liver,Acenez 150mg Injection should be used with caution in patients with liver disease. Dose adjustment of Acenez 150mg Injection may be needed. Please consult your doctor.<BR>Use of Acenez 150mg Injection is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,Anglonor TZ 400 mg/600 mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Anglonor TZ 400 mg/600 mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,There is limited information available on the use of Arthobit 60mg Injection in patients with liver disease. Please consult your doctor.
,,
,liver,There is limited information available on the use of Acef LB 100mg Tablet in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Altomail 75mg Injection in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Audon 2mg Oral Solution in patients with liver disease. Please consult your doctor.
,liver,Aceleaf TH 100mg/4mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aceleaf TH 100mg/4mg Tablet may be needed. Please consult your doctor.<BR>Use of Aceleaf TH 100mg/4mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,Azux 500mg Injection should be used with caution in patients with liver disease. Dose adjustment of Azux 500mg Injection may be needed. Please consult your doctor.
,,
,liver,Ara TH 100mg/4mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Ara TH 100mg/4mg Tablet may be needed. Please consult your doctor.<BR>Use of Ara TH 100mg/4mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,Anikuf AX Syrup should be used with caution in patients with liver disease. Dose adjustment of Anikuf AX Syrup may be needed. Please consult your doctor.<BR>Limited information is available on the use of Anikuf AX Syrup in these patients.
,liver,Brilinta 60mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Brilinta 60mg Tablet may be needed. Please consult your doctor.<BR>Use of Brilinta 60mg Tablet is not recommended in patients with severe liver disease.
,liver,There is limited information available on the use of Bzon Forte 1mg Tablet in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Betawin Forte 0.5mg Tablet in patients with liver disease. Please consult your doctor.
,liver,Bromex Kid Syrup should be used with caution in patients with severe liver disease. Dose adjustment of Bromex Kid Syrup may be needed. Please consult your doctor.<BR>Limited information is available on the use of Bromex Kid Syrup in patients with liver disease.
,liver,Buprigesic 0.3mg Injection should be used with caution in patients with liver disease. Dose adjustment of Buprigesic 0.3mg Injection may be needed. Please consult your doctor.<BR>Use of Buprigesic 0.3mg Injection is not recommended in patients with serious liver disease.
,liver,Buprocare 0.2mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Buprocare 0.2mg Tablet may be needed. Please consult your doctor.<BR>Use of Buprocare 0.2mg Tablet is not recommended in patients with serious liver disease.
,liver,Bivamax 250mg Injection is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Bivamax 250mg Injection may not be needed in these patients. Please consult your  doctor.
,liver,Biodebol 50mg Injection should be used with caution in patients with liver disease. Dose adjustment of Biodebol 50mg Injection may be needed. Please consult your doctor.
,liver,Daophage GP2 Tablet ER should be used with caution in patients with liver disease. Dose adjustment of Daophage GP2 Tablet ER may be needed. Please consult your doctor.<BR>Use of Daophage GP2 Tablet ER is not recommended in patients with severe liver disease.
,liver,Dukinase 50000IU Injection should be used with caution in patients with liver disease. Dose adjustment of Dukinase 50000IU Injection may be needed. Please consult your doctor.
,liver,Duomox 500 mg/125 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Duomox 500 mg/125 mg Tablet may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is recommended while you are taking this medicine
,liver,Dbgron 75 Capsule should be used with caution in patients with liver disease. Dose adjustment of Dbgron 75 Capsule may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Dicamol Plus Tablet in patients with liver disease. Please consult your doctor.
,liver,Defset 6mg Tablet is safe to use in patients with liver disease. No dose adjustment of Defset 6mg Tablet is recommended.
,liver,Donep Syrup should be used with caution in patients with liver disease. Dose adjustment of Donep Syrup may be needed. Please consult your doctor.
,liver,Dospin 150 mg/75 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Dospin 150 mg/75 mg Tablet may be needed. Please consult your doctor.<BR>Use of Dospin 150 mg/75 mg Tablet is not recommended in patients with severe liver disease.
,liver,Desonex M 5mg/10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Desonex M 5mg/10mg Tablet may be needed. Please consult your doctor.
,liver,Daventyl-Plus 100 Tablet should be used with caution in patients with liver disease. Dose adjustment of Daventyl-Plus 100 Tablet may be needed. Please consult your doctor.<BR>Inform your doctor if you develop any signs and symptoms of jaundice while taking this medicine. Use of Daventyl-Plus 100 Tablet is not recommended in patients with severe liver disease.
,liver,Diocerin gm Tablet is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Dupent-DSR Capsule is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Dupent-DSR Capsule may not be needed in these patients. Please consult your  doctor.
,liver,There is limited information available on the use of Dolozen 10mg Tablet in patients with liver disease. Please consult your doctor.
,liver,No interaction found/established
,liver,Dysliptin C 10mg/75mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Dysliptin C 10mg/75mg Tablet may be needed. Please consult your doctor.<BR>Use of Dysliptin C 10mg/75mg Tablet is not recommended in patients with severe liver disease and active liver disease.
,liver,No interaction found/established
,liver,DAONIL 2.5 MG TABLET should be used with caution in patients with liver disease. Dose adjustment of DAONIL 2.5 MG TABLET may be needed. Please consult your doctor.<BR>Use of DAONIL 2.5 MG TABLET is not recommended in patients with severe liver disease. They can experience very low blood sugar levels while taking this medicine.
,liver,No interaction found/established
,liver,Delma 6mg Tablet is safe to use in patients with liver disease. No dose adjustment of Delma 6mg Tablet is recommended.
,liver,D Fax Plus 100mg/0.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of D Fax Plus 100mg/0.5mg Tablet may be needed. Please consult your doctor.
,liver,Delior Nano Oral Solution Sugar Free is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Delior Nano Oral Solution Sugar Free may not be needed in these patients. Please consult your  doctor.
,liver,Depwell 0.25mg/20mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Depwell 0.25mg/20mg Tablet may be needed. Please consult your doctor.
,liver,"Diomine 20 mg/500 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Diomine 20 mg/500 mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Diomine 20 mg/500 mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Dafadros-LS Tablet is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Doxacin OZ 200 mg/500 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Doxacin OZ 200 mg/500 mg Tablet may be needed. Please consult your doctor.
,liver,Divaltec 250mg Tablet ER is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,DavaIndia Azithromycin 250mg Tablet should be used with caution in patients with liver disease. Dose adjustment of DavaIndia Azithromycin 250mg Tablet may be needed. Please consult your doctor.
,liver,DavaIndia Glimepiride 2mg Tablet should be used with caution in patients with liver disease. Dose adjustment of DavaIndia Glimepiride 2mg Tablet may be needed. Please consult your doctor.<BR>Use of DavaIndia Glimepiride 2mg Tablet is not recommended in patients with severe liver disease. These patients can experience very low blood sugar levels which may become normal after a long time.
,liver,Debrox Syrup is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Derox 150mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Derox 150mg Tablet may be needed. Please consult your doctor.
,liver,Defenac 100mg Tablet SR should be used with caution in patients with liver disease. Dose adjustment of Defenac 100mg Tablet SR may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is recommended in patients with liver disease if this medicine is to be taken for a long time.
,,
,liver,"Diclopex Plus 50mg/325mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Diclopex Plus 50mg/325mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Diclopex Plus 50mg/325mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,DavaIndia Nicorandil 10mg Tablet ER is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of DavaIndia Nicorandil 10mg Tablet ER may not be needed in these patients. Please consult your  doctor.
,liver,Dovy-A Tablet should be used with caution in patients with liver disease. Dose adjustment of Dovy-A Tablet may be needed. Please consult your doctor.<BR>Use of Dovy-A Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,Delexit-N Tablet should be used with caution in patients with liver disease. Dose adjustment of Delexit-N Tablet may be needed. Please consult your doctor.<BR>Inform your doctor if you develop any signs and symptoms of jaundice while taking this medicine. Use of Delexit-N Tablet is not recommended in patients with severe liver disease.
,liver,Dextrom Syrup is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Daczim-OF Tablet should be used with caution in patients with liver disease. Dose adjustment of Daczim-OF Tablet may be needed. Please consult your doctor.
,liver,Doncorate 250mg Tablet ER is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.<BR>Use of Doncorate 250mg Tablet ER is not recommended in patients with severe liver disease and active liver disease.
,liver,D.D.Pramine 10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of D.D.Pramine 10mg Tablet may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is advisable when you are taking this medicine.
,liver,"Dolotus P Tablet should be used with caution in patients with liver disease. Dose adjustment of Dolotus P Tablet may be needed. Please consult your doctor.<BR>However, the use of Dolotus P Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,"DPS 2 Tablet should be used with caution in patients with liver disease. Dose adjustment of DPS 2 Tablet may be needed. Please consult your doctor.<BR>However, the use of DPS 2 Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Duzine 0.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Duzine 0.5mg Tablet may be needed. Please consult your doctor.<BR>Use of Duzine 0.5mg Tablet is not recommended in patients with severe liver disease.
,liver,Diafer Forte Tablet ER should be used with caution in patients with liver disease. Dose adjustment of Diafer Forte Tablet ER may be needed. Please consult your doctor.<BR>Diafer Forte Tablet ER is generally started with low dose in patients with mild to moderate liver disease and its use is not recommended in patients with severe liver disease.
,liver,Doxipreg 10mg/10mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Doxipreg 10mg/10mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Domicid 10 mg/20 mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Domicid 10 mg/20 mg Capsule may be needed. Please consult your doctor.<BR>Use of Domicid 10 mg/20 mg Capsule is not recommended in patients with moderate and severe liver disease.
,liver,Duotop 20mg/1.5mg Tablet is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Delicita Tablet should be used with caution in patients with liver disease. Dose adjustment of Delicita Tablet may be needed. Please consult your doctor.
,liver,No interaction found/established
,liver,There is limited information available on the use of Drasol 40mg Injection in patients with liver disease. Please consult your doctor.
,liver,Dexcoff Syrup is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Dior 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Dior 500mg Tablet may be needed. Please consult your doctor.<BR>Dior 500mg Tablet is generally started with low dose in patients with mild to moderate liver disease and its use is not recommended in patients with severe liver disease.
,liver,There is limited information available on the use of Doser 10mg Tablet in patients with liver disease. Please consult your doctor.
,liver,No interaction found/established
,liver,DavaIndia Aspirin+Rosuvastatin+Clopidogrel 150mg/10mg/75mg Capsule should be used with caution in patients with liver disease. Dose adjustment of DavaIndia Aspirin+Rosuvastatin+Clopidogrel 150mg/10mg/75mg Capsule may be needed. Please consult your doctor.<BR>Use of DavaIndia Aspirin+Rosuvastatin+Clopidogrel 150mg/10mg/75mg Capsule is not recommended in patients with severe liver disease and active liver disease.
,liver,Doxic 10mg/10mg/2.5mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Doxic 10mg/10mg/2.5mg Tablet may not be needed in these patients. Please consult your  doctor.
,,
,liver,Disocef O 200mg/200mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Disocef O 200mg/200mg Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Domeco 1500 Injection in patients with liver disease. Please consult your doctor.
,liver,Duke Soft Gelatin Capsule is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Duke Soft Gelatin Capsule may not be needed in these patients. Please consult your  doctor.
,liver,There is limited information available on the use of Dactino 0.5mg Injection in patients with liver disease. Please consult your doctor.
,liver,Drmet G Drmet G2 Tablet SR should be used with caution in patients with liver disease. Dose adjustment of Drmet G Drmet G2 Tablet SR may be needed. Please consult your doctor.<BR>Drmet G Drmet G2 Tablet SR is generally started with low dose in patients with mild to moderate liver disease and its use is not recommended in patients with severe liver disease.
,liver,There is limited information available on the use of Domar OX Suspension in patients with liver disease. Please consult your doctor.
,liver,Doner Capsule should be used with caution in patients with liver disease. Dose adjustment of Doner Capsule may be needed. Please consult your doctor.<BR>Use of Doner Capsule is not recommended in patients with moderate and severe liver disease.
,,
,liver,Decdron 25mg Injection should be used with caution in patients with liver disease. Dose adjustment of Decdron 25mg Injection may be needed. Please consult your doctor.
,liver,Densera-D Tablet should be used with caution in patients with liver disease. Dose adjustment of Densera-D Tablet may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is recommended in patients with liver disease if this medicine is to be taken for a long time.
,liver,Dutofeb 40mg Tablet should be used with caution in patients with severe liver disease. Dose adjustment of Dutofeb 40mg Tablet may be needed. Please consult your doctor.<BR>Limited information is available regarding the use of Dutofeb 40mg Tablet in these patients.
,liver,Doxyrin 100mg Tablet is safe to use in patients with liver disease. No dose adjustment of Doxyrin 100mg Tablet is recommended.
,liver,Dicon 50mg Capsule is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Decofed X Syrup should be used with caution in patients with liver disease. Dose adjustment of Decofed X Syrup may be needed. Please consult your doctor.<BR>Limited information is available on the use of Decofed X Syrup in these patients.
,liver,Dicolin 50mg Injection should be used with caution in patients with liver disease. Dose adjustment of Dicolin 50mg Injection may be needed. Please consult your doctor.
,liver,Desloriv 5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Desloriv 5mg Tablet may be needed. Please consult your doctor.
,liver,No interaction found/established
,liver,Dilocus LS Syrup should be used with caution in patients with liver disease. Dose adjustment of Dilocus LS Syrup may be needed. Please consult your doctor.<BR>Limited information is available on the use of Dilocus LS Syrup in these patients.
,liver,Defender 1gm/0.2gm Injection should be used with caution in patients with liver disease. Dose adjustment of Defender 1gm/0.2gm Injection may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is recommended while you are taking this medicine
,liver,Ditocet 5mg Tablet is safe to use in patients with liver disease. No dose adjustment of Ditocet 5mg Tablet is recommended.
,,
,liver,Dare 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Dare 500mg Tablet may be needed. Please consult your doctor.
,liver,Dyazide 250mg Injection is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Dexcol AX Syrup should be used with caution in patients with liver disease. Dose adjustment of Dexcol AX Syrup may be needed. Please consult your doctor.<BR>Limited information is available on the use of Dexcol AX Syrup in these patients.
